firstName,lastName,onLoan,height,weight,position,rosterCategory,playerCategories,jerseyNumber,Team,Games played,Minutes played,Starts,Subbed off,Clearances,Blocks,Interceptions,Success Rate - Tackles,Success Rate - Duels,Success Rate - Aerial Duels,Success Rate - Passes,Total passes,Successful passes,Passes per 90 mins,Success Rate - Long Passes,Pass Direction - Forward,Pass Direction - Left,Pass Direction - Right,Pass Direction - Back,Pass Accuracy - Opp. Half,Pass Accuracy - Own Half,Total open play crosses,Succ. crosses,Assists,Second assists,Key Passes,Total shots (excluding blocked shots),Shots on target,Goals scored,Conversion rate,Mins per goal,Left foot goals,Right foot goals,Headed goals,Other,Goals inside the box,Goals outside the box,Direct free kick goals,Fouls won,Fouls conceded,Yellow cards,Red cards,Success Rate - Saves,Clean sheets,Catches,Punches,Drops,Penalties saved
Giorgos,Giakoumakis,FALSE,185,84,Forward,Senior,Designated PlayerInternational,7,atl,16,957,11,9,10,2,1,90%,46.80%,50%,72.60%,190,138,17.9,87.50%,15.30%,26.80%,23.70%,34.20%,66.70%,80.60%,2,0,0,1,12,27,16,10,37%,95.7,1,6,3,0,9,1,0,26,24,5,0,,,,,,
Edwin,Mosquera,TRUE,169,58,Forward,Senior,InternationalU22 Initiative,,atl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah,Cobb,FALSE,185,75,Defender,Supplemental Slots 29-30,Homegrown,24,atl,3,195,2,0,9,1,0,50%,71.40%,100%,86.50%,148,128,68.3,42.90%,27.70%,35.80%,21.60%,14.90%,66.70%,92.20%,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,1,1,1,0,,,,,,
Aiden,McFadden,FALSE,175,75,Defender,Supplemental Slots 25-28,,37,atl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiago,Almada,FALSE,171,63,Midfielder,Senior,InternationalDesignated Player,23,atl,18,"1,599",18,1,0,1,6,60%,47.10%,16.70%,84.20%,"1,070",901,60.2,78.40%,24.60%,16.40%,42.10%,16.80%,76.80%,91.40%,9,4,9,1,54,45,22,8,17.80%,199.9,0,8,0,0,2,6,3,29,13,2,0,,,,,,
Caleb,Wiley,FALSE,180,73,Defender,Supplemental Slots 29-30,Homegrown,26,atl,17,"1,217",15,10,14,0,9,80%,44%,52%,75.80%,438,332,32.4,34.40%,31.30%,7.50%,39.00%,22.10%,67.40%,80%,25,6,2,0,11,6,4,3,50%,405.7,3,0,0,0,3,0,0,6,19,1,0,,,,,,
Erik,Centeno,TRUE,173,67,Midfielder,Supplemental Slots 31,Generation adidas,,atl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan José,Sánchez Purata,TRUE,188,78,Defender,Senior,International,22,atl,21,"1,852",21,2,84,15,31,46.70%,55.70%,60.50%,90%,"1,264","1,137",61.4,57.10%,33.10%,25.30%,36.50%,5.10%,77.90%,94.10%,0,0,0,0,5,14,3,1,7.10%,"1,852",0,0,1,0,1,0,0,8,29,4,0,,,,,,
Franco,Ibarra,FALSE,175,69,Midfielder,Senior,U22 Initiative,14,atl,17,"1,280",15,6,31,1,14,54.10%,59.90%,50%,84.50%,711,601,50,59%,34.90%,22.40%,32.80%,10.00%,81%,88.40%,2,1,0,0,4,3,0,0,0%,-,0,0,0,0,0,0,0,39,32,8,1,,,,,,
Santiago,Sosa,FALSE,175,78,Midfielder,Senior,U22 Initiative,5,atl,13,653,7,3,17,4,12,75%,59.40%,68.60%,84.50%,414,350,57.1,82%,28.70%,33.10%,26.80%,11.40%,83.30%,85.90%,0,0,0,0,4,10,2,0,0%,-,0,0,0,0,0,0,0,10,15,2,0,,,,,,
Ajani,Fortune,FALSE,175,75,Midfielder,Supplemental Slots 29-30,Homegrown,35,atl,7,193,2,2,3,0,0,0%,38.90%,0%,90.40%,83,75,38.7,85.70%,20.50%,33.70%,24.10%,21.70%,87.90%,92%,0,0,1,0,1,1,0,0,0%,-,0,0,0,0,0,0,0,1,6,2,0,,,,,,
Erik,López,TRUE,176,68,Forward,Senior,U22 Initiative,32,atl,1,25,0,0,0,0,0,-,50%,-,60%,5,3,18,100%,40.00%,0.00%,40.00%,20.00%,50%,66.70%,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,1,0,0,0,,,,,,
Machop,Chol,FALSE,188,79,Forward,Supplemental Slots 25-28,Homegrown,30,atl,15,385,3,3,0,0,3,57.10%,49.20%,39.10%,74.70%,95,71,22.2,0%,26.30%,22.10%,21.10%,30.50%,65.60%,85.70%,4,1,0,1,3,7,2,1,14.30%,385,0,0,1,0,1,0,0,8,5,2,0,,,,,,
Miles,Robinson,FALSE,188,84,Defender,Senior,,12,atl,17,"1,467",16,1,63,6,15,61.90%,73.80%,83.30%,84.90%,"1,003",852,61.5,36.30%,38.50%,41.30%,16.30%,4.00%,68.60%,93.40%,0,0,1,0,2,7,2,0,0%,-,0,0,0,0,0,0,0,10,10,1,0,,,,,,
Jackson,Conway,FALSE,190,79,Forward,Supplemental Slots 25-28,Homegrown,36,atl,1,56,1,1,0,0,0,-,25%,0%,80%,10,8,16.1,-,20.00%,10.00%,20.00%,50.00%,80%,80%,0,0,0,0,1,1,1,0,0%,-,0,0,0,0,0,0,0,0,2,0,0,,,,,,
Marcelino,Moreno,TRUE,168,65,Midfielder,Senior,International,,atl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler,Wolff,FALSE,175,70,Forward,Supplemental Slots 29-30,Homegrown,28,atl,9,310,2,2,1,1,1,30%,44.70%,-,86.70%,83,72,24.1,0%,21.70%,22.90%,21.70%,33.70%,84%,88.20%,1,0,0,0,3,6,6,4,66.70%,77.5,2,2,0,0,4,0,0,4,8,2,0,,,,,,
Matheus,Rossetto,FALSE,180,75,Midfielder,Senior,,20,atl,17,"1,057",11,7,8,1,6,65.20%,46.60%,46.20%,90.50%,673,609,57.3,60.50%,27.30%,33.40%,25.70%,13.50%,90.20%,90.60%,1,0,1,0,17,7,6,1,14.30%,"1,057",0,1,0,0,0,1,0,5,14,3,0,,,,,,
Miguel,Berry,FALSE,191,82,Forward,Senior,,19,atl,19,751,7,6,1,0,1,50%,42.10%,41.20%,78.60%,98,77,11.7,60%,16.30%,19.40%,23.50%,40.80%,71.90%,83.80%,3,0,0,1,7,6,3,1,16.70%,751,0,1,0,0,0,1,0,8,6,1,0,,,,,,
Andrew,Gutman,FALSE,178,72,Defender,Senior,,15,atl,18,"1,385",16,1,27,9,13,58.10%,56.10%,66.70%,83.20%,727,605,47.2,52.30%,39.60%,7.00%,42.00%,11.40%,76.30%,87.60%,25,9,2,3,14,12,6,3,25%,461.7,1,1,1,0,3,0,0,17,18,3,1,,,,,,
Quentin,Westberg,FALSE,185,76,Goalkeeper,Senior,,31,atl,6,495,6,1,5,,,,,,86.90%,183,159,33.3,55.10%,36.60%,32.20%,31.10%,0.00%,31.60%,93.30%,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,50%,1,0,4,1,0
Amar,Sejdi?,FALSE,178,72,Midfielder,Supplemental Slots 21-24,,13,atl,15,782,10,10,3,1,11,75%,41%,27.30%,87.40%,348,304,40.1,64.30%,20.10%,28.70%,25.60%,25.60%,83.50%,90.50%,3,1,0,1,3,5,2,0,0%,-,0,0,0,0,0,0,0,7,16,2,0,,,,,,
Ezequiel,Barco,TRUE,162,67,Midfielder,Senior,,,atl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks,Lennon,FALSE,178,71,Defender,Senior,,11,atl,20,"1,800",20,0,46,4,13,63.60%,46.20%,43.50%,86.80%,939,815,46.9,52.20%,26.00%,37.80%,3.50%,32.70%,69.60%,92.60%,75,14,7,0,39,9,5,2,22.20%,900,0,2,0,0,2,0,0,9,18,3,0,,,,,,
Luis,Abram,FALSE,181,76,Defender,Senior,,4,atl,9,281,3,1,10,5,4,75%,60%,62.50%,86.50%,193,167,61.8,53.10%,36.80%,19.70%,34.70%,8.80%,79.70%,90%,1,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Derrick,Etienne Jr.,FALSE,178,77,Midfielder,Supplemental Slots 25-28,,18,atl,17,918,11,11,2,0,4,77.80%,40.20%,0%,84.80%,243,206,23.8,77.80%,18.90%,9.50%,41.60%,30.00%,74.90%,89%,21,2,1,1,11,5,2,0,0%,-,0,0,0,0,0,0,0,16,10,1,0,,,,,,
Clément,Diop,FALSE,185,76,Goalkeeper,,,25,atl,2,135,1,0,0,,,,,,87.80%,41,36,27.3,64.30%,41.50%,22.00%,36.60%,0.00%,100%,86.50%,0,0,0,0,0,,,,,,,,,,,,,0,0,1,0,42.90%,0,0,0,0,0
Osvaldo,Alonso,FALSE,180,71,Midfielder,Senior,,6,atl,3,23,0,0,1,1,0,100%,50%,100%,87.50%,24,21,93.9,-,20.80%,25.00%,41.70%,12.50%,81.30%,100%,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Brad,Guzan,FALSE,193,94,Goalkeeper,Senior,,1,atl,14,"1,260",14,0,11,,,,,,76.10%,423,322,30.2,53.60%,49.20%,27.20%,23.60%,0.00%,30.20%,91.50%,0,0,0,0,0,,,,,,,,,,,,,3,0,1,0,61.10%,4,13,8,1,0
David,Rodríguez,FALSE,170,63,Midfielder,,,32,atx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leo,Väisänen,FALSE,186,76,Defender,Senior,International,15,atx,12,"1,080",12,0,44,15,19,36.40%,59.30%,66.20%,87%,723,629,60.2,45.80%,40.70%,22.40%,33.20%,3.70%,79.40%,90%,3,2,1,0,5,4,1,0,0%,-,0,0,0,0,0,0,0,1,9,3,0,,,,,,
Emiliano,Rigoni,FALSE,180,87,Midfielder,Senior,Designated PlayerInternational,7,atx,20,"1,308",15,8,15,3,2,76.50%,39%,50%,75.60%,332,251,22.8,59.40%,22.60%,29.80%,17.80%,29.80%,58.90%,79.60%,41,7,2,1,26,19,11,1,5.30%,"1,308",0,1,0,0,1,0,0,8,14,1,0,,,,,,
Calvin Jay,Fodrey,FALSE,188,72,Midfielder,Supplemental Slots 25-28,Generation adidas,19,atx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian,Las,FALSE,183,73,Goalkeeper,Supplemental Slots 25-28,Homegrown,12,atx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofiane,Djeffal,FALSE,183,69,Midfielder,Supplemental Slots 25-28,International,22,atx,6,288,3,2,4,1,2,60%,60%,77.80%,83.30%,120,100,37.5,55.60%,29.20%,23.30%,26.70%,20.80%,73.10%,94.40%,1,0,0,1,2,1,0,0,0%,-,0,0,0,0,0,0,0,2,7,1,0,,,,,,
Charlie,Asensio,FALSE,175,68,Defender,Supplemental Slots 25-28,,26,atx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhojan,Valencia,FALSE,172,67,Midfielder,Senior,,5,atx,14,617,7,6,8,5,12,77.80%,48.70%,42.10%,86.20%,333,287,48.6,59.30%,21.60%,32.70%,28.80%,16.80%,77.20%,93.60%,2,0,0,1,2,4,0,0,0%,-,0,0,0,0,0,0,0,4,15,1,0,,,,,,
Kipp,Keller,FALSE,188,82,Defender,Supplemental Slots 21-24,Generation adidas,4,atx,4,166,0,0,6,1,0,-,33.30%,25%,87.90%,107,94,58,44.40%,26.20%,43.00%,23.40%,7.50%,72.40%,93.60%,0,0,0,0,0,1,0,0,0%,-,0,0,0,0,0,0,0,2,0,0,0,,,,,,
Owen,Wolff,FALSE,175,66,Midfielder,Supplemental Slots 29-30,Homegrown,33,atx,13,924,10,4,7,3,18,30%,54.20%,25%,81.70%,371,303,36.1,50%,28.80%,28.80%,20.80%,21.60%,78%,84%,7,2,2,1,9,4,3,1,25%,924,0,1,0,0,0,1,0,18,14,2,0,,,,,,
Sebastián,Driussi,FALSE,179,80,Midfielder,Senior,InternationalDesignated Player,10,atx,15,"1,244",13,0,19,6,3,71.40%,52.50%,44.40%,83.30%,430,358,31.1,76.50%,24.90%,14.00%,33.50%,27.70%,71.50%,93.70%,24,2,2,0,12,32,15,4,12.50%,311,2,2,0,0,3,1,0,22,10,1,0,,,,,,
Moussa,Djitté,TRUE,180,74,Forward,Senior,U22 InitiativeInternational,2,atx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Žan,Kolmani?,FALSE,178,69,Defender,Senior,U22 Initiative,23,atx,6,432,6,5,15,1,6,78.60%,61.90%,20%,84.60%,253,214,52.7,35.70%,34.40%,4.30%,41.50%,19.80%,71.40%,90.40%,16,7,0,0,3,2,0,0,0%,-,0,0,0,0,0,0,0,5,2,0,0,,,,,,
Rodney,Redes,FALSE,172,72,Midfielder,Senior,U22 Initiative,11,atx,8,389,5,4,3,1,3,75%,42.60%,16.70%,76.50%,85,65,19.7,50%,31.80%,28.20%,18.80%,21.20%,63.10%,83.30%,17,4,1,0,7,2,1,0,0%,-,0,0,0,0,0,0,0,13,8,0,1,,,,,,
